season,week,player_id,player_display_name,position,team,opponent_team,lambda,p_ge1,p_ge2,p_book,n_books,fair_amer,book_amer,sleeper_half_ppr,scoring_tds,scored_anytime
2025,17,00-0038563,Tre Tucker,WR,LV,NYG,0.3083481636692461,0.2653405082673427,0.03880960306939607,0.2649122807017544,8.0,277,277,8.96,0.0,0
2025,17,00-0039066,Michael Mayer,TE,LV,NYG,0.3055589030842398,0.26328849102863683,0.03817973045781198,0.2469135802469136,8.0,280,305,7.0,0.0,0
2025,17,00-0036970,Kyle Pitts,TE,ATL,LA,0.30478837273612874,0.26272061369790967,0.038006429295003974,0.3252247488101534,8.0,281,207,9.0,0.0,0
2025,17,00-0036139,Rico Dowdle,RB,CAR,SEA,0.3039579677124905,0.2621081189175247,0.037820002352148774,0.3448275862068966,7.0,282,190,9.12,0.0,0
2025,17,00-0036971,Trevor Lawrence,QB,JAX,IND,0.2934201294757646,0.25429121936315036,0.03548525239747147,0.2797339593114241,8.0,293,257,22.78,2.0,1
2025,17,00-0036613,Jaylen Waddle,WR,MIA,TB,0.28718273541452016,0.2496254037049358,0.03413077455535296,0.3125,8.0,301,220,13.0,0.0,0
2025,17,00-0040691,Jaxson Dart,QB,NYG,LV,0.2866501581561456,0.24922566482321662,0.03401608290521663,0.3149801587301587,8.0,301,217,20.3,2.0,1
2025,17,00-0037197,Isiah Pacheco,RB,KC,DEN,0.28533987113878606,0.2482412901930542,0.03373455680928028,0.2040816326530612,8.0,303,390,7.58,0.0,0
2025,17,00-0034829,Mike Gesicki,TE,CIN,ARI,0.2844484983843661,0.2475708942192698,0.033543564939249815,0.27027027027027023,8.0,304,270,5.04,0.0,0
2025,17,00-0036355,Justin Herbert,QB,LAC,HOU,0.28428079230592473,0.24744469670288471,0.03350767882755534,0.14285714285714285,8.0,304,600,21.63,0.0,0
2025,17,00-0040126,Colston Loveland,TE,CHI,SF,0.2821439845538741,0.2458349114086208,0.03305176830202372,0.3306010928961749,8.0,307,202,7.58,1.0,1
2025,17,00-0035719,Deebo Samuel Sr.,WR,WAS,DAL,0.2797949760449784,0.24406128888675704,0.032553435319355284,0.30303030303030304,7.0,310,230,9.26,0.0,0
2025,17,00-0039915,Ladd McConkey,WR,LAC,HOU,0.279287462737269,0.24367754256110763,0.03244616241178322,0.29411764705882354,8.0,310,240,9.56,0.0,0
2025,17,00-0039890,Adonai Mitchell,WR,NYJ,NE,0.2773354310570499,0.2421997352696571,0.032034872195520925,0.21749408983451535,8.0,313,360,8.16,0.0,0
2025,17,00-0040735,Luther Burden III,WR,CHI,SF,0.27600037790281345,0.24118735599624586,0.031754779493776586,0.3333333333333333,8.0,315,200,8.01,1.0,1
2025,17,00-0037239,Chris Olave,WR,NO,TEN,0.27562472109953556,0.2409022493163333,0.031676143496862985,0.4,8.0,315,150,13.5,1.0,1
2025,17,00-0038124,Christian Watson,WR,GB,BAL,0.27070742444710993,0.23716034800851316,0.030653990551768096,0.2631578947368421,8.0,322,280,7.89,1.0,1
2025,17,00-0038997,Josh Downs,WR,IND,JAX,0.2704481396574857,0.2369625296452914,0.0306004652989067,0.24540800963565193,8.0,322,307,8.1,0.0,0
2025,17,00-0033921,Chris Godwin Jr.,WR,TB,MIA,0.2694896008288673,0.2362307779520878,0.03040291517702154,0.2777777777777778,8.0,323,260,8.52,1.0,1
2025,17,00-0040737,Terrance Ferguson,TE,LA,ATL,0.2681589045657493,0.23521375657922838,0.03012951531655972,0.2649122807017544,8.0,325,277,4.63,1.0,1
2025,17,00-0039855,Jalen McMillan,WR,TB,MIA,0.26619409666458316,0.23370962134094075,0.02972764621103119,0.16666666666666666,8.0,328,500,5.76,0.0,0
2025,17,00-0039849,Marvin Harrison Jr.,WR,ARI,CIN,0.26301831504487594,0.23127218210225398,0.029082686710664607,0.25,8.0,332,300,10.7,0.0,0
2025,17,00-0040129,Emeka Egbuka,WR,TB,MIA,0.26055976350754984,0.22937989996034602,0.0285873089398494,0.2857142857142857,8.0,336,250,6.95,0.0,0
2025,17,00-0039491,Jalen Coker,WR,CAR,SEA,0.25865100884677567,0.22790757054190613,0.02820508473961214,0.24096385542168672,7.0,339,315,8.39,0.0,0
2025,17,00-0039916,Ricky Pearsall,WR,SF,CHI,0.2574432952697911,0.22697454072918388,0.027964319167061213,0.36363636363636365,8.0,341,175,7.89,0.0,0
2025,17,00-0036389,Jalen Hurts,QB,PHI,BUF,0.2514742588120557,0.22234652492361284,0.026786693666158934,0.425531914893617,8.0,350,135,21.99,0.0,0
